target
149
141
138
138

7
128
120
141
152
115

183
130
155
143
98
114

137
121
135
140
142


140
95
131
130
137
130

160
135
145
145

136

158
166
158
127
165
155

130
125
150
125
101
118

148
109
108
129
145
149

142
116
110
106
118
142

150
150
113
144

127

165
135
130
112
125
103

131
97
99
115
123
0

138
123
172
167

142

135
139
135
143
120
139

169
139
147

128
110

175
150
130
91
135
145

170
108
128
126
124
155

184
143
170
101
162
160

178
159
182
137
174
136

184
167
121
170
155
159

144

126
128
175
112



118
117
126
126

140
119
112
105
135
148

137
117
124
121
106
120

145
125
111
83
115
97

160
103
131
119
160
117

171
101
135
154
129
141


159
97
150
131
127

142
133
133
118
116
110

110
119
141
149
184
151




114
90
134

157
111
153
147
124
134

125

126
118
135
151


168
130
137
115
150

145
143
137
140
119
140

117
145
113
119
145
146

167
154
132
124

90

130
94
121
120
92
131

146
125

132
130
127

88
132
130
103
152
141

182
113
164
135
107
140

136
139
117
103
101
129

111
134
142
138
203
157

147
137
148
124
140
150

124
145
152
135
154
104

136
147
135

144
104

127
123
143
153
143
126

153
146
138
144
187
125

156
99
122
155
142
122

139
134
152
139
135
149

172
118
175
160
135
142

125
126
147
123
124
138

125
134
131
137
162
129

145
117
152
140
159
125

123
113
156
119
120
123

97
108
95
139
129
140

173
132
130
171
137


133
133
139
135
154
136

111
116
174
170
115
124

135
134
120
142
145
85

102
104
161
110
169
118

12
131
157
118
161


125
111
142
141
125
118

133
123
113
147
99
133

119
6
143
130
105


130
5
128
106
118
132

127
143
120
159
62
132

141
138
117
116
102
112

111
140
141
119
188
145

141
184
147
167
156
164

168
156
163
164
132
156

175
116
161
111
210
144

185
150

125
143
151

167
115


152
130

152
120
147
112
134
120

142
170
158
171
147
125

113
101
122
154
119
145

130
133
157
151
134
142

123
147
133
120
132
152

137

139
125
144
6

148
122
121
127
114
108




134
101
145

150
156
148
159
141
106

134
147
157
127
139
123

119
108
112






































































































13
19
23
38
36
45

34
29
36
35
36
37

36
28
30
27
21
29

32
29
40
27
36
38

26
39
28
42
36
38

49
36
41
33
29
38

38
42
49
28
26
38

35
46
42
47
38
29

43
48
39
44
56
42

54
